PoliceDepartment,UserID,SenderScreename,UserName,senderDescription,senderFollowers,senderFriends,senderTFF,UserLocation,senderLocationTag,sender.agency,sender.comention,sendTFF_range,PDLocation,UserRole
NYPDnews,141409050,tyalaxandar,TA,Recording Artist - Actor - Model | Booking: HatyKichelleMGMT@gmail.com | (New music available below) North Bergen.,14805,5739,2.579717721,Œ_íèí_Œ´í_Œè,Non-Local,0,0,>10,New York City,Other Sectors
NYPDnews,141651601,ftpdunitytour,FTPDUnityTour,A bicycle rider for the Police Unity Tour Freehold Twp NJ. Sixth year rider.,168,119,1.411764706,Freehold NJ,Non-Local,0,0,1->2,New York City,Police
SFPD,141921938,bobbyonabike,Neil C Smith MBE,"organising, planning & riding long distance & group cycle rides for charitable causes. '12 Olympic Torchbearer, MBE in the '14 Queens birthday honours #pedalon",678,748,0.906417112,"Suffolk,UK",Non-Local,0,0,<1,"San Francisco, CA",Other Sectors
PortlandPolice,142066535,asteriskerin,erin deJesus,"reports editor @eater. writers & art-makers, send pitches to erin@eater.com. yes, I still live in PDX.",1597,746,2.14075067,"Portland, OR",Local,0,0,2->10,"Portland, Oregon",Media
PortlandPolice,142082285,danteprescott,Dante Prescott,Concerned citizen. Conscience and common sense activist.,9,114,0.078947368,"Portland, OR",Local,0,0,<1,"Portland, Oregon",Not Identified
CLEpolice,142140948,_chantelleeee,Chantelle,"Honestly, Im a sinner who loves the Lord ; If everyone is wearing blackŒ_íï_Œ´í_ŒèŒ_íï_Œ´í_ŒèŒ_íêŒéŒ´í_Œè, I want to be wearing red.Œ_ŒÈ_Œ´í_Œè -M. Sharapova",607,595,1.020168067,"SumWhereBtwn, IWantItAndIGotIt",Non-Local,0,0,1->2,"Cleveland, OH",Not Identified
PortlandPolice,142400309,lyttle_byrd,Deana,"just another tattooed 30-something artist in portland, oregon",128,101,1.267326733,"Portland, OR",Local,0,0,1->2,"Portland, Oregon",Not Identified
CLEpolice,142419792,drwleon,Dr. Wilmer Leon ,"Dr. Wilmer Leon hosts #InsideTheIssues on Sirius/XM Channel 126, nationally syndicated columnist, and is seen regularly on RT TV, Press TV. @DrWilmerLeonRx",1501,1053,1.425451092,,Missing,0,0,1->2,"Cleveland, OH",Media
detroitpolice,142563863,NA,Guido Anchovi,Samurai Pizza Cat - A Wild Romantic Lover!,5169,168,30.76785714,YEG,Non-Local,0,0,>10,"City of Detroit, MI",Not Identified
CLEpolice,142619929,punksatonypics,Chris,"Photo taker, caffeine addict, music listener, situational tourettes sufferer. Keeper of the Satchel Of Rage.  http://instagram.com/punksatonyphil",544,408,1.333333333,Liverpool (via Belfast),Non-Local,0,0,1->2,"Cleveland, OH",Other Sectors
NYPDnews,142842030,garoyous,Garo Yousofine,"I like dogs, CrossFit, bacon, and people who like dogs, CrossFit, and bacon.",113,217,0.520737327,"Boston, MA",Non-Local,0,0,<1,New York City,Not Identified
SFPD,143107745,kimshreesf,Kim-Shree Maufas,Kim-Shree's a former Commish on the SFUSD's Board of Ed (2007-2015). Lives & thrives in the Mission District & adores walking the streets of San Francisco.,657,294,2.234693878,"Mission Dist, San Francisco",Local,0,0,>10,"San Francisco, CA",Polictician
SFPD,143139430,teenasalaam,Œ_í‡ŒÇ,Bigger than the government.,1464,739,1.98105548,,Missing,0,0,1->2,"San Francisco, CA",Not Identified
SFPD,143244695,rebeccasigo,Rebecca Goberstein,"Cofounder/CEO @terrapnapp. Consumer and Teller of Stories, Designer, Front End Developer, Marketer, Lover of Movies & Maps. Kind-of-on-hiatus photographer.",729,544,1.340073529,"San Francisco, CA",Local,0,0,1->2,"San Francisco, CA",Other Sectors
NYPDnews,143311613,dabxog,Political Aim,A Rebel With A Cause. I Dont Believe The Hype.,358,1775,0.201690141,Somewhere In The AirŒ_íèí_Œ´í_Œè,Non-Local,0,0,<1,New York City,Not Identified
NYPDnews,143535110,graceggui,Grace Gui,"Dance fanatic, Myth debunker,

Voice of @McCannTruth",30,89,0.337078652,NY,Local,0,0,<1,New York City,Not Identified
NYPDnews,143843233,randommetstweet,Mets TweetsŒ_í£Œ¢,"Just Random Mets Tweets that I think of. Some funny. Some serious. All Good.

Rooting for the Yankees is like rooting for Bill Gates to hit the lottery. #LGM",992,780,1.271794872,New York,Local,0,0,1->2,New York City,Not Identified
SLMPD,144353944,sirenladystl,Sarah ,"KITTENS! And Weather! These tweets are my business alone, not anyone I work for, I share a lot.",404,484,0.834710744,St. Louis,Local,0,0,<1,"St. Louis, MO",Not Identified
SFPD,144947054,samayoukodomo,samayou kodomo,"an ocd minimalist... 



Crumbs are for quitters!            Leftovers are for quitters!",89,91,0.978021978,,Missing,0,0,<1,"San Francisco, CA",Other Sectors
BPDVT,145094331,repcp,Christopher Pearson,"State rep in Burlington VT. Health Care vice-chair, co-founder of the climate caucus, head of the House Progressive caucus.",1823,1846,0.987540628,"Burlington, VT",Local,0,0,<1,"Burlington, Vermont",Other Sectors
SLMPD,145383915,takestlback,sunnyinmo,"Patriotic American, Pro Police, Animal Lover, Conservative, Believe in God, Family and Country",941,927,1.015102481,,Missing,0,0,1->2,"St. Louis, MO",Police
CLEpolice,145518909,arpdid911,Anjunatrap,i've been blocked by better DJs than this,5774,1628,3.546683047,Vegas w/ @kawaiibuttplug Œ_ŒÈŒÇŒ´í_Œè,Non-Local,0,0,2->10,"Cleveland, OH",Not Identified
StocktonPolice,145756648,modestobrides,ElegantAffairEvents,"Modesto Wedding Planner - Central Valley & East Bay. Owner, Erica Spitulski, keeps it fresh, fun and your day all about YOU! Erica@ElegantAffairEvents.net",360,319,1.128526646,"Modesto, CA",Non-Local,0,0,1->2,"Stockton, CA, USA",Not Identified
SFPD,146134724,daviottenheimer,davi (Œë_íçŒ_Œµíç),@bcrypt Husband. @EMCcorp Senior Director of Trust. Author of security books on defending Cloud and Big Data. Cranky philo-cyberhistorian. @LSEnews & @SOAS alum,2627,498,5.275100402,on 2 wheels or 2 hulls,Non-Local,0,0,2->10,"San Francisco, CA",Other Sectors
NYPDnews,146688300,adambertocci,Adam Bertocci,"Writer, filmmaker, guy who only signed up for this so no one would take his name. Please mentally append #firstworldproblems to every post from this account.",354,148,2.391891892,,Missing,0,0,2->10,New York City,Not Identified
NYPDnews,146768518,_carterg,Lone Wolf McQuaid,"When I enter the room, just make sure you make way for my marching band to play my theme music.",802,636,1.261006289,Absolut BROOKLYN!!!,Non-Local,0,0,1->2,New York City,Not Identified
NYPDnews,146875185,santanaraymond,The central park 5,"1/5th of the central park 5, member of the justice League nyc  #wemakechange #wefight4justice #glovesbackon2015",4315,3391,1.272485992,Harlem ny,Local,0,0,1->2,New York City,Not Identified
SFPD,146905390,drjoporter,Joanna Porter,"Consultant chest physician/researcher UCL/ UCLH London UK:  pulmonary fibrosis, IPF and autoimmune lung disease (rh. arthritis, polymyositis, SLE and others)",382,255,1.498039216,"UCLH London, UK",Non-Local,0,0,1->2,"San Francisco, CA",Not Identified
NYPDnews,146989077,nayamamma,Nayamamma,,116,419,0.276849642,,Missing,0,0,<1,New York City,Not Provided
NYPDnews,147071542,jewishreporter,Jewish Reporter,"Police, crime, breaking news reporter - I appreciate any feedback, tips you may have.

JewishReporter@yahoo.com",9545,8706,1.096370319,NYC,Local,0,0,1->2,New York City,Media
detroitpolice,147197929,phymson,Paige Hymson,@CNN News Asst; UMD grad; Film and television addict; Broadcast Media professional,206,338,0.609467456,,Missing,0,0,<1,"City of Detroit, MI",Media
NYPDnews,147270013,NA,JŒ‹Œ_Œ_í_í‹_Œ£,"Optimism @Mets fan. True Music,like all true art, is an experience to be shared, not judged, for praise cannot make it better, as blame cannot make it worse.-PM",281,136,2.066176471,TokyoŒ_íæíñNYC,Local,0,0,2->10,New York City,Not Identified
NYPDnews,147395450,oohnina,Œ_ŒÈŒÇ,"Lover. Progressionist. Muse. Aquemini. *********Peace, Love & Hip Hop********* #LegalizeSampling (instrumental album prod. by Smoke The World) check it:",484,474,1.021097046,,Missing,0,0,1->2,New York City,Not Identified
PortlandPolice,147761983,timbkoin,Tim Becker,"Emmy Award-winning reporter/anchor @KOINNews . Dog lover, proud Aussie owner.",873,518,1.685328185,PDX,Non-Local,0,0,1->2,"Portland, Oregon",Media
NYPDnews,148140857,dukemedia_sport,Benjamin Szwediuk,Unverified.,1203,856,1.405373832,UK,Non-Local,0,0,1->2,New York City,Not Identified
NYPDnews,148194820,e_gb,EnriqueŒ_í£Œ¢,"Estudiante de psicologíë_a. En contra del gobierno de @EPN #RechingasATuMadreEPN Living in the 2nd most awesome city in the planet, which is better? MíëŒ©xico D.F",616,1432,0.430167598,New York City,Local,0,0,<1,New York City,Not Identified
NYPDnews,148226084,johnnyubric,Johnny Ubri-Cardona,Tar Heel | PR x Consumer Marketing @EdelmanPR | Dancer | Opinions are my own.,809,791,1.022756005,"New York, New York",Local,0,0,1->2,New York City,Other Sectors
PortlandPolice,148304715,nnanpei,nicholas nanpei,Recovering pizzaholic. Producer @Swiftcollective. The guy who's always just there @TRILLBLAZIN,454,1581,0.287160025,"Portland, Oregon",Local,0,0,<1,"Portland, Oregon",Not Identified
StocktonPolice,148516959,evaninfo,Evan Lewis,"Emmy award winner, multi-platform journalist. News Director at http://www.elinformador.net. #NAHJ",569,1084,0.524907749,"New York City, NY",Non-Local,0,0,<1,"Stockton, CA, USA",Media
PortlandPolice,148598955,shame_y,"oh, THAT girl",Elephants never forget...that's why they drink.,788,1581,0.498418722,Portland,Local,0,0,<1,"Portland, Oregon",Not Identified
SFPD,148625138,walthammapolice,Waltham MA Police ,"Breaking news and info from the Waltham MA PD.



Not monitored 24/7, do not report crimes/problems to WPD twitter.  Call 911 in Emergencies

 #Waltham #police",8393,451,18.6097561,"Waltham, MA USA",Non-Local,0,0,>10,"San Francisco, CA",Police
NYPDnews,148749842,colombiancomic,Oscar Collazos,Colombian/Comedian/36/Clueless/Cat Lover/Mommas Boy/GatorNation,415,602,0.689368771,Plantation/NYC,Local,0,0,<1,New York City,Other Sectors
NYPDnews,148976002,bigred1st,Sheila W,,293,1998,0.146646647,,Missing,0,0,<1,New York City,Not Provided
SLMPD,148976601,jeffrainford,Jeff Rainford,,3256,361,9.019390582,,Missing,0,0,2->10,"St. Louis, MO",Not Provided
NYPDnews,149163834,nessthediva,wedNESSday Adams,"Rebel with a cause



IG: Nessthediva",893,483,1.848861284,In pursuit of Peace. ,Non-Local,0,0,1->2,New York City,Not Identified
NYPDnews,149236129,maxman205,Max Kahn,graphic designer. college student. israel advocate. friend. realist.,848,306,2.77124183,"Philadelphia, PA",Non-Local,0,0,2->10,New York City,Other Sectors
SFPD,149283816,metaquest,meta,,3718,1833,2.028368794,San Francisco,Local,0,0,>10,"San Francisco, CA",Not Provided
SLMPD,149751818,beautybind,Jillian Hurley,"Activist, Progressive & Mother.



Segment producer. Former owner of TFO LA. & Media Relations Credits include: Oprah, Sports Illustrated, The LA Times, CBS",16942,8016,2.113522954,"Boston, NYC",Non-Local,0,0,>10,"St. Louis, MO",Media
CLEpolice,149778650,rangelife87,Brian McEwan,,36,93,0.387096774,,Missing,0,0,<1,"Cleveland, OH",Not Provided
CLEpolice,150183049,kobentino,Kobentino,"Dad, husband, cancer survivor, teacher, learner, gaijin, professional dork.",89,322,0.276397516,"Almaty, KZ",Non-Local,0,0,<1,"Cleveland, OH",Other Sectors
NYPDnews,150398575,adelinasinohui,Adelina   Sinohui ,"Accountant, Screen Actors Guild Union Actor, P.A. for Film/TV, There is little success where there is little laughter ~Andrew Carnegie http://www.imdb.com",4359,4783,0.911352708,"TUCSON,  AZ ",Non-Local,0,0,<1,New York City,Not Identified
SFPD,150696100,theadamrizz,Adam Rizzieri,As seen on TV! I have 8 vowels in my name. Pandan tapioca scares me. Online Marketer/Tech junkie. @SMU alumnus. #BU grad scholar. Pug lover. Captain Awesome,631,224,2.816964286,"Dallas, Texas",Non-Local,0,0,2->10,"San Francisco, CA",Not Identified
SFPD,150781694,sfjcrc,JCRC,JCRC mobilizes the Jewish community on critical issues and amplifies its voice in the public sphere in pursuit of a just society and secure Jewish future.,477,589,0.809847199,San Francisco Bay Area,Local,0,0,<1,"San Francisco, CA",Other Sectors
NYPDnews,150820239,keith_sweatjr,Hawks,"by realizing that he knew nothing , he became the smartest man in the room . They rewrite history, I don't believe in yesterday. I was born sick , but i love it",649,336,1.931547619,Georgia southern ,Non-Local,0,0,1->2,New York City,Not Identified
NYPDnews,150888922,lifeofriley94,William Riley,,42,210,0.2,New York City,Local,0,0,<1,New York City,Not Provided
SFPD,151551726,pfaliano,Patrick Faliano,"San Francisco native who likes beer, wine and international news. OPINIONS ARE MY OWN & RT's and FOLLOWS DO NOT MEAN ENDORSEMENT!",368,1994,0.184553661,"San Francisco, CA",Local,0,0,<1,"San Francisco, CA",Media
ScottsdalePD,151865796,nicole12news,Nicole Niziolek,Assignment desk at KPNX 12 News. New to Phoenix- lovin the heat!,1346,521,2.583493282,,Missing,0,0,2->10,"Scottsdale, Arizona",Media
SpokanePD,151984122,spokanecmo,Curtis Olsen,"Just a guy, doing guy stuff.",419,280,1.496428571,"Spokane, WA",Local,0,0,1->2,"Spokane, WA",Not Identified
NYPDnews,152657009,cruzysworld,IAmMsCruz ,follow my FaceBook page Tamara Cruz,337,552,0.610507246,Where  you want to be....,Non-Local,0,0,<1,New York City,Not Identified
NYPDnews,152832615,adjectivenouns,Jake Hyland,"Student of comedy.

Magnet for tragedy.",232,451,0.514412417,"NY, NY",Local,0,0,<1,New York City,Not Identified
CLEpolice,152890067,marchaegrair,Nerdy and Wordy,"Social media lady @unitedchurch. Feminist blogger @Herlinked. Fighting for LGBT, race & gender equality w/ sarcastic wit. Opinions are mine.",484,624,0.775641026,O-H! I-O!,Non-Local,0,0,<1,"Cleveland, OH",Other Sectors
NYPDnews,152908634,juanita_a14,Juanita,"Writer, global citizen, dancer, lover of art and international politics; RT are not endorsements, all views are my own.",122,582,0.209621993,"New York, NY",Local,0,0,<1,New York City,Media
NYPDnews,153141217,daveparfrey,Dave Parfrey,,362,291,1.243986254,Cork,Non-Local,0,0,1->2,New York City,Not Provided
SFPD,153159695,anastasianov,AnastasiaNovozhilova,Global Citizen : Urbanist : Sustainablity Advocate : City Biker : Housing Advocate : Techie : Social Justice,203,346,0.586705202,San Francisco,Local,0,0,<1,"San Francisco, CA",Other Sectors
StocktonPolice,153266039,danniholl,Danni Holleran,"Irish in Dallas, content marketing, social media & integrated media enthusiast. Partial to a nice hug, infectious creativity, mad ideas & peppermint mocha's.",1048,1023,1.024437928,"Dallas, Texas",Non-Local,0,0,1->2,"Stockton, CA, USA",Not Identified
ScottsdalePD,153399423,agoodmanreports,Amanda Goodman,"Journalist @AZFamily - Yuma Native - @Cronkite_ASU Grad - RT's, links, likes & follows Œ_í_í_ endorsements - Views are my own - Tweets sent to me may end up on TV",2042,1133,1.802294793,Sweet Home Arizona,Non-Local,0,0,1->2,"Scottsdale, Arizona",Media
StocktonPolice,153876973,sterlingmholmes,Sterling M Holmes,"(24) POLITICAL, LGBT, JUSTICE/CIVIL RIGHTS, #TCOT ACTIVIST. POLITICALLY INDEPENDENT @American_Media_ CONTRIBUTOR ,NEWS JUNKIE, HUMANITY UNITER #NoFilters",5535,6090,0.908866995,EARTH ,Non-Local,0,0,<1,"Stockton, CA, USA",Police
NYPDnews,153988107,andrethesmith,Andre Smith,"Family man, amateur trader/investor, casual sports fan, and sometimes opinionated, self-appointed authority on all topics.",111,66,1.681818182,"Rochester, NY",Local,0,0,1->2,New York City,Not Identified
SLMPD,154236739,anti_asfuck,DB4D,I just don't give a fuck about nothing or nobody fuck it sue me,214,307,0.697068404,St. louis,Local,0,0,<1,"St. Louis, MO",Not Identified
NYPDnews,154454740,si_academy,StatenIslandAcademy,Successful students - achieving their goals in school and in life - are at the heart of the learning community that is Staten Island Academy. (718) 987-8100,657,242,2.714876033,715 Todt Hill Road,Non-Local,0,0,>10,New York City,Other Sectors
PortlandPolice,155050699,goat_show,Brooke Alley,"I'm interested in your story. And grilled cheese sandwiches, trail running, wild things, Belgian beers, bees and books.",252,1008,0.25,Portland Oregon,Local,0,0,<1,"Portland, Oregon",Not Identified
NYPDnews,155100394,peachessiny,Sharon McCabe,Born & raised in Queens but now living and loving Staten Island.,70,345,0.202898551,NY,Local,0,0,<1,New York City,Other Sectors
NYPDnews,155376912,jae_bechillin,CIROC OBAMA,i randomly take pictures #RIPDuke #RIPGio #RIPNene #FreeStacks,449,923,0.486457205,The Bronx,Non-Local,0,0,<1,New York City,Not Identified
CLEpolice,155385477,jcustreaks10,Kevin Huyghe,"I'm the guy the Browns wanted all along. Corporate Financial Analyst, Cleveland sports fanatic, CrossFit, John Carroll graduate. #RollTribe #BrownsSTH",441,993,0.444108761,"Cleveland, Ohio",Local,0,0,<1,"Cleveland, OH",Not Identified
NYPDnews,155387585,notoriousvog,V.O.G On 87.7 FM,"Entrepreneur; Host/Editor @B87FM Morning Show #NITM, Concert Producer; Orator; Inside The Dancehall Show #ITDH. Quality Of Life Advocate. NotoriousVOG@gmail.com",7555,269,28.08550186,"Boston, MA, USA, Worldwide",Non-Local,0,0,>10,New York City,Media
NYPDnews,155394343,lennydaman,Lenny,"America will get hit again. Be observant, if you see something say somethng. The people voted for hope & change. what they got was no hope & a big dope",2059,2228,0.924147217,USS NEW YORK,Local,0,0,<1,New York City,Not Identified
NYPDnews,155570507,dannyaintshit,whiskey dan,just a college student searching for his chill. money team.,589,526,1.119771863,,Missing,0,0,1->2,New York City,Not Identified
NYPDnews,155944427,beneakin,Ben Eakin,"Sports aficionado, Fantasy Sports Manager, Community and Justice Services 2012 - CST - Networking 2016 @chelculhane #Patriots #Caps #Thunder #Gators #Jays #FCB",591,488,1.211065574,"Barrie, Ontario",Non-Local,0,0,1->2,New York City,Other Sectors
SLMPD,156166612,prettytony1999,Fatty Wop,CANT STOP EATING,159,836,0.190191388,St Louis,Local,0,0,<1,"St. Louis, MO",Not Identified
PortlandPolice,157279700,jeffhanneson,Jeff Hanneson,"Sometimes serious, usually entertaining, often interesting, generally random, always enlightened.

#progressive #liberal #uniteblue #lgbt #doglover #polisci",334,406,0.822660099,"Portland, Oregon",Local,0,0,<1,"Portland, Oregon",Not Identified
NYPDnews,157474144,rdubhall,Rick,This is no longer Justin Bieber's official MySpace Page.,415,813,0.510455105,Due South of Ellesmere Island,Non-Local,0,0,<1,New York City,Not Identified
NYPDnews,157542990,genuine_mum18,Csorasuf,Mum of 6 and one precious grandkid mwaaaaa,1429,2002,0.713786214,,Missing,0,0,<1,New York City,Not Identified
SFPD,157804752,manand,Anand Madhavan,"anand madhavan. engineering @twitter. previously @disneypixar, @stanford, @powerset, @ansys_inc, @iitmadras. onboarding @nikitaveda with @kanakap.",1607,979,1.641470889,,Missing,0,0,1->2,"San Francisco, CA",Not Identified
NYPDnews,158123632,corruptnsw,Countess FrightBat,"Blood Suckers of Justice in #NSWpol. Steve Mark, Ex-NSW Legal Services Commissioner - Devils Advocate of Corrupt Lawyers http://tl.gd/f0h2n7",3107,3360,0.924702381,"Hell,Hades,Mictlan,Tartarus",Non-Local,0,0,<1,New York City,Other Sectors
NYPDnews,158502985,globalregina,Global Regina ,Information and updates from the hardworking journalists and photographers who make up the Global Regina Newsroom!,17112,1093,15.65599268,"Regina, SK Canada",Non-Local,0,0,>10,New York City,Not Identified
NYPDnews,158599011,rahscope,Rahsaan (Rah),#teamBMW #teamIphone6 #teamapple  #teamgetmoney #teamlightskin BlackBerryMessager 7b6721d0,563,1998,0.281781782,"New Jersey, Phila, VA, Texas",Local,0,0,<1,New York City,Not Identified
StocktonPolice,158817993,msgail2107,Gail Robinson,,164,458,0.358078603,Teesside,Non-Local,0,0,<1,"Stockton, CA, USA",Not Provided
NYPDnews,158827700,snurluas,ŒˆíïŒ©_í‡Œ__ŒÈ_í‡Œ¬_Œ_í£íÍŒˆíïŒ©,Œ_í_íèí«íÅPrefiero morir de pie que vivir siempre arrodillado!Œ_í_Œù Œ_í_Œ« Emiliano Zapata,495,404,1.225247525,"Here, There, Everywhere. LA,CA",Non-Local,0,0,1->2,New York City,Not Identified
SFPD,158831815,debrajsaunders,Debra J. Saunders,"San Francisco Chronicle columnist

Token Conservative blogger

dsaunders@sfchronicle.com",5466,466,11.72961373,San Francisco Chronicle,Local,0,0,>10,"San Francisco, CA",Not Identified
NYPDnews,159153701,nydntransit,NYDN Transit,Transit News from @NYDailyNews. Tweets by @danrivoli.,1418,447,3.172259508,New York City,Local,0,0,2->10,New York City,Media
NYPDnews,159189607,nw3cnews,NW3C,"The National White Collar Crime Center offers innovative training and tools for investigating economic, intellectual property and high-tech crimes.",1316,450,2.924444444,"Glen Allen, VA",Non-Local,0,0,2->10,New York City,Not Identified
oaklandpoliceca,159223609,whymicrosoft,Why Microsoft,Discover how Microsoft delivers more value than the competition and see why customers choose solutions like @Office365. #WhyMsft | For support: @MicrosoftHelps,153968,21250,7.245552941,"Redmond, WA",Non-Local,0,0,>10,"Oakland, CA",Not Identified
NYPDnews,159285637,helenajacobs,Helena Jacobs,"(Orthodox) Catholic news , Politics, Health Care, Opera, Italy, Spain.",1526,1662,0.918170878,Netherlands,Non-Local,0,0,<1,New York City,Media
NYPDnews,159292885,bhsutton,Benjamin Sutton,"Art journalist and critic, Metro Editor at @Hyperallergic. Based in Brooklyn, will bike anywhere.",8136,1300,6.258461538,"Brooklyn, NY",Local,0,0,2->10,New York City,Media
VBPD,159317732,zachbatten2011,Zach Batten,I'm 22 years old and just enjoying life. I'm a pretty open book and yes I'm gay. My snapchat is zbatten.,1001,1998,0.501001001,"Virginia Beach, VA ",Local,0,0,<1,"Virginia Beach, VA",Not Identified
NYPDnews,160246535,timothygo_only1,Timothy W GoŒ_í£Œ¢,Pinoy. Canuck. Anchor. Editor. @firstlookasia @thatsit_timgo. Channel NewsAsia.  Tweets may be offensive. Tweets don't reflect the views of my network.,55312,1141,48.47677476,the World,Non-Local,0,0,>10,New York City,Media
NYPDnews,160320682,acdbk,Alyssa Devine,"ACD = me. BK = where I play. SoulCycle Instructor/Non-Profit Gallery Manager.



http://www.dinnerwithbae.com",497,1110,0.447747748,New York City,Local,0,0,<1,New York City,Other Sectors
NYPDnews,160630206,richardbuery,Richard Buery,Deputy Mayor for Strategic Policy Initiatives - The City of New York.  Social entrepreneur.  Recovering attorney.  Deborah's husband.,2593,983,2.637843337,"New York City, NY",Local,0,0,2->10,New York City,Polictician
NYPDnews,160794124,gigimck,Jennifer McKelvey,"Digital Media Assistant, On Air Contributor, and Associate Producer for The Gold Patrol. The views and opinions expressed on this account are my own.",1370,1997,0.686029044,"Greenville, SC",Non-Local,0,0,<1,New York City,Media
StocktonPolice,160930875,juanmuriango,john muriango,Born again #Christian #Baptist #Conservative #ProLife #TeaParty #TeamJesus #tcot #Cessationist #Blogger #Marketer #Capitalist #Arsenal #Calvinist #Reformed,10208,10688,0.95508982,"Nairobi , Kenya",Non-Local,0,0,<1,"Stockton, CA, USA",Not Identified
NYPDnews,160951141,tomnamako,Tom Namako,Deputy News Director at @BuzzFeedNews. Former @WSJNY and @NYPost. tom.namako@buzzfeed.com,2261,1525,1.482622951,Brooklyn via Philly,Non-Local,0,0,1->2,New York City,Media
boulderpolice,161151043,werdenaz,Charles Becker,"I tweet about philosophy, CogSci, management, startups, and more.",226,738,0.306233062,,Missing,0,0,<1,"Boulder, CO",Not Identified
NYPDnews,161363435,kaylaepstein,Kayla Epstein,"Social media producer and sometimes-scribe for @GuardianUS. Short, and to the point.",1487,1017,1.462143559,"New York, NY",Local,0,0,1->2,New York City,Other Sectors
SFPD,162158433,carloronaldo,Carlo Ronaldo,,47,23,2.043478261,,Missing,0,0,2->10,"San Francisco, CA",Not Provided
NYPDnews,162445372,coffeywitursuga,Es See,"A long time ago in a galaxy far, far away...",19,6,3.166666667,California,Non-Local,0,0,>10,New York City,Not Identified
NYPDnews,162464526,psneighbors,Park Slope Neighbors,"Grassroots neighborhood advocacy collective committed to enhancing quality of life in Park Slope, Brooklyn.",2871,92,31.20652174,"Park Slope, Brooklyn, NY",Local,0,0,>10,New York City,Not Identified
ScottsdalePD,163168151,cardnotpresent,CardNotPresent,The Independent Source For Original CNP News. http://www.cardnotpresent.com & Producers of the CNPExpo http://cnpexpo.com,3977,3587,1.108725955,Boston,Non-Local,0,0,1->2,"Scottsdale, Arizona",Media
CLEpolice,163285418,civiccommons,The Civic Commons,"A civic engagement community, harnessing emerging technology to provide the place and tools for citizens to inform dialogue, make connections and take action.",4773,2447,1.950551696,Northeast Ohio,Non-Local,0,0,1->2,"Cleveland, OH",Not Identified
SFPD,163314994,robinmarcinkus,robin marcinkus,a penny for your thoughts,252,178,1.415730337,Grand Valley State University ,Non-Local,0,0,1->2,"San Francisco, CA",Not Identified
CLEpolice,163320042,arcraventree,A.R.C. Raventree,"Cat Lover, Trekkie, Clockmaker, Vegetarian, Feminist, Progressive, Socialist, Green, general gadfly on the body politic.",151,519,0.290944123,"Cleveland, OH",Local,0,0,<1,"Cleveland, OH",Not Identified
PortlandPolice,163593608,mshack75,matt shackelford,"abracadabra, homes...",39,186,0.209677419,PDX,Non-Local,0,0,<1,"Portland, Oregon",Not Identified
oaklandpoliceca,163602167,grinchiedog,Jeannie Johnson,,1,13,0.076923077,,Missing,0,0,<1,"Oakland, CA",Not Provided
SFPD,163605980,zakcowan,Zak Cowan,Student journalist at SFSU. Reporting the right way.,64,210,0.304761905,"San Francisco, Calif.",Local,0,0,<1,"San Francisco, CA",Media
NYPDnews,163736159,cbrink8168,Cbrink,,120,115,1.043478261,NYC,Local,0,0,1->2,New York City,Not Provided
NYPDnews,163739163,blanquito718,YUNG VINCE ADULTMAN,,55,258,0.213178295,,Missing,0,0,<1,New York City,Not Provided
SFPD,163748070,liaeconomix,Lia Economos,Berkeley grad. Feminist. Keeping the product team awesome @airbnb,291,527,0.552182163,San Francisco,Local,0,0,<1,"San Francisco, CA",Not Identified
NYPDnews,163880929,julesthefool,Julie Dwyer,"Mum first and foremost, keen gardener, lover of Yorkshire, English rugby union, caravanning, crafts and upcycling  x",85,152,0.559210526,,Missing,0,0,<1,New York City,Other Sectors
oaklandpoliceca,164333065,dhruvr_,Dhruv,,150,116,1.293103448,MSU,Non-Local,0,0,1->2,"Oakland, CA",Not Provided
detroitpolice,164393545,n8breed,t(-_-t),"Watch out for bears, you can't see them coming.",323,247,1.307692308,,Missing,0,0,1->2,"City of Detroit, MI",Not Identified
SFPD,164439146,4packent,Racci,"Son of GOD, i415USA Native, Small Business Owner/Entrepreneur, Recording Artist, Music Producer, Actor, Father. #i4PACKent #i415USA #TeamWestCoast #TeamLibra",6195,9235,0.670817542,Baghdad by The Bay,Local,0,0,<1,"San Francisco, CA",Other Sectors
CLEpolice,164578021,natewroberts,Nate Roberts,,164,148,1.108108108,Cleveland,Local,0,0,1->2,"Cleveland, OH",Not Provided
SFPD,164928631,buddybreathing,Lesley-Anne Evans,I'm a poet. I'm fond of words.,148,210,0.704761905,"Kelowna, British Columbia",Non-Local,0,0,<1,"San Francisco, CA",Not Identified
CLEpolice,164986631,seattledegen,degen,embracing degeneracy,46,152,0.302631579,Seattle,Non-Local,0,0,<1,"Cleveland, OH",Not Identified
CLEpolice,165058720,rdgincle,ryang,"Proud Clevelander.  Beer, blues, and fantasy golf enthusiast.",344,497,0.692152918,"Cleveland, OH",Local,0,0,<1,"Cleveland, OH",Not Identified
NYPDnews,165203079,bodybreak753,Brent Stokes,"Writer, teacher, hockey lover, friend.",287,1281,0.224043716,,Missing,0,0,<1,New York City,Media
NYPDnews,165246090,ortizanthony,anthony,,2,8,0.25,,Missing,0,0,<1,New York City,Not Provided
